iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index
FRO,Faeroe Islands,2020-09-20,431.0,,,48865,,
FRO,Faeroe Islands,2020-09-21,434.0,,,48865,,
FRO,Faeroe Islands,2020-09-22,437.0,,,48865,,
FRO,Faeroe Islands,2020-09-23,448.0,,,48865,,
FRO,Faeroe Islands,2020-09-24,451.0,,,48865,,
FRO,Faeroe Islands,2020-09-25,455.0,,,48865,,
FRO,Faeroe Islands,2020-09-26,458.0,,,48865,,
FRO,Faeroe Islands,2020-09-27,460.0,,,48865,,
FRO,Faeroe Islands,2020-09-28,460.0,,,48865,,
FRO,Faeroe Islands,2020-09-29,460.0,,,48865,,
FRO,Faeroe Islands,2020-09-30,463.0,,,48865,,
FRO,Faeroe Islands,2020-10-01,467.0,,,48865,,
FRO,Faeroe Islands,2020-10-02,472.0,,,48865,,
FRO,Faeroe Islands,2020-10-03,472.0,,,48865,,
FRO,Faeroe Islands,2020-10-04,473.0,,,48865,,
FRO,Faeroe Islands,2020-10-05,474.0,,,48865,,
FRO,Faeroe Islands,2020-10-06,475.0,,,48865,,
FRO,Faeroe Islands,2020-10-07,475.0,,,48865,,
FRO,Faeroe Islands,2020-10-08,476.0,,,48865,,
FRO,Faeroe Islands,2020-10-09,477.0,,,48865,,
FRO,Faeroe Islands,2020-10-10,477.0,,,48865,,
FRO,Faeroe Islands,2020-10-11,477.0,,,48865,,
FRO,Faeroe Islands,2020-10-12,477.0,,,48865,,
FRO,Faeroe Islands,2020-10-13,477.0,,,48865,,
FRO,Faeroe Islands,2020-10-14,477.0,,,48865,,
FRO,Faeroe Islands,2020-10-15,478.0,,,48865,,
FRO,Faeroe Islands,2020-10-16,480.0,,,48865,,
FRO,Faeroe Islands,2020-10-17,482.0,,,48865,,
FRO,Faeroe Islands,2020-10-18,483.0,,,48865,,
FRO,Faeroe Islands,2020-10-19,485.0,,,48865,,
FLK,Falkland Islands,2020-04-04,1.0,,68.52,3483,,
FLK,Falkland Islands,2020-04-05,1.0,,68.52,3483,,
FLK,Falkland Islands,2020-04-06,2.0,,68.52,3483,,
FLK,Falkland Islands,2020-04-07,2.0,,76.85,3483,,
FLK,Falkland Islands,2020-04-08,5.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-09,5.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-10,5.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-11,5.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-12,5.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-13,5.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-14,5.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-15,11.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-16,11.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-17,11.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-18,11.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-19,11.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-20,11.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-21,11.0,,79.63,3483,,
FLK,Falkland Islands,2020-04-22,12.0,,75.93,3483,,
FLK,Falkland Islands,2020-04-23,12.0,,75.93,3483,,
FLK,Falkland Islands,2020-04-24,12.0,,75.93,3483,,
FLK,Falkland Islands,2020-04-25,12.0,,75.93,3483,,
FLK,Falkland Islands,2020-04-26,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-04-27,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-04-28,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-04-29,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-04-30,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-05-01,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-05-02,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-05-03,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-05-04,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-05-05,13.0,,75.93,3483,,
FLK,Falkland Islands,2020-05-06,13.0,,73.15,3483,,
FLK,Falkland Islands,2020-05-07,13.0,,73.15,3483,,
FLK,Falkland Islands,2020-05-08,13.0,,73.15,3483,,
FLK,Falkland Islands,2020-05-09,13.0,,73.15,3483,,
FLK,Falkland Islands,2020-05-10,13.0,,73.15,3483,,
FLK,Falkland Islands,2020-05-11,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-12,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-13,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-14,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-15,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-16,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-17,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-18,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-19,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-20,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-21,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-22,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-23,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-24,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-25,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-26,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-27,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-28,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-29,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-30,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-05-31,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-01,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-02,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-03,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-04,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-05,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-06,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-07,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-08,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-09,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-10,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-11,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-12,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-13,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-14,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-15,13.0,,54.63,3483,,
FLK,Falkland Islands,2020-06-16,13.0,,36.11,3483,,
FLK,Falkland Islands,2020-06-17,13.0,,36.11,3483,,
FLK,Falkland Islands,2020-06-18,13.0,,36.11,3483,,
FLK,Falkland Islands,2020-06-19,13.0,,27.78,3483,,
FLK,Falkland Islands,2020-06-20,13.0,,27.78,3483,,
FLK,Falkland Islands,2020-06-21,13.0,,27.78,3483,,
FLK,Falkland Islands,2020-06-22,13.0,,27.78,3483,,
FLK,Falkland Islands,2020-06-23,13.0,,27.78,3483,,
FLK,Falkland Islands,2020-06-24,13.0,,27.78,3483,,
FLK,Falkland Islands,2020-06-25,13.0,,27.78,3483,,
FLK,Falkland Islands,2020-06-26,13.0,,27.78,3483,,
FLK,Falkland Islands,2020-06-27,13.0,,27.78,3483,,
